2,WJBK (FOX)
3,WMYD (MyTV)
4,WDIV (NBC)
6,WTVS (PBS)
7,WXYZ (ABC)
8,Jewelry TV
10,QVC
11,WPXD (ION)
12,WGTE (PBS)
13,WKBD (CW)
14,WWJ (CBS)
15,HSN
16,Government Access
23,WADL (IND)
29,TBS
30,The Weather Channel
31,TNT
32,FOX Sports Detroit
33,FOX Sports 1
34,Golf Channel
35,ESPN
36,ESPN2
37,CNN
38,HLN
39,CNBC
40,FOX News Channel
41,MSNBC
42,Discovery
43,HISTORY
44,Bravo
45,A&E
46,AMC
47,Travel Channel
48,HGTV
49,Food Network
50,FX
51,USA Network
52,Lifetime
53,Freeform
54,Syfy
55,Comedy Central
56,E!
57,Disney Channel
58,Cartoon Network
59,Nickelodeon
60,Paramount Network
62,BET
63,VH1
64,MTV
66,TCM
67,Animal Planet
68,Oxygen
70,TLC
71,NBC Sports Network
72,truTV
73,FOX Sports 2
90,Leased Access
95,WGN America
96,C-SPAN
98,Univision
99,CBET
102,ESPNews
103,Bloomberg TV
104,C-SPAN2
105,C-SPAN3
106,FOX Business Network
108,Nat Geo WILD
109,National Geographic Channel
110,Science
111,Investigation Discovery
113,Destination America
114,BBC America
115,fyi
116,VICELAND
117,WE tv
119,LMN
121,DIY Network
122,Cooking Channel
124,Ovation
125,Primo TV
126,Kid Central
128,Universal Kids
130,Discovery Family Channel
131,Nick Jr.
132,Nick 2
135,Disney XD
137,Hallmark Channel
139,Nick Music
141,MTV TR3s
145,CMT Music
147,Great American Country (GAC)
157,Jewelry FL
158,UP
159,Revolt
160,WTVS Kids
161,ReelzChannel
164,IFC
166,WJBk Heroes & Icons
169,WDIV MeTV
172,FX Movie Channel
173,TV One
176,The Africa Channel
177,Hallmark Movies & Mysteries
178,OWN (Oprah Winfrey Network)
179,GSN
184,Tennis Channel HD
186,fyi HD
187,WGN America HD
188,Lifetime HD
191,Discovery HD
193,Animal Planet HD
196,TBS HD
197,Food Network HD
198,HGTV HD
201,FOX Sports Detroit HD
203,ESPN2 HD
205,MotorTrend Network
206,NBC Sports Network HD
207,Golf Channel HD
209,MTV Live HD
210,Destination America HD
212,HISTORY HD
213,CNN HD
214,FOX News Channel HD
221,LMN HD
223,FOX Sports 1 HD
225,E! HD
226,Paramount Network HD
228,Nickelodeon HD
229,Freeform HD
231,WXYZ HD (ABC)
232,WDIV HD (NBC)
234,WJBK HD (FOX)
235,WMYD HD (MyTV)
236,WKBD HD (CW)
241,Hallmark Movies & Mysteries HD
242,Bravo HD
243,FOX Business Network HD
244,CNBC HD
247,truTV HD
249,BET HD
252,MTV HD
253,VH1 HD
257,ESPNews HD
258,MLB Network HD
259,NHL Network HD
262,TV One HD
263,EVINE Live
289,WWJ Start TV
290,WGTE Kids (PBS)
292,WJBK Buzzr
293,WJBK Movies!
294,WDIV ThisTV
378,Hallmark Channel HD
379,UP HD
380,VICELAND HD
381,Investigation Discovery HD
386,Home Preview Channel (Detroit)
388,Smithsonian Channel
389,Cable Marketplace
390,BYUtv
391,INSP
392,TBN
393,EWTN
394,OWN HD (Oprah Winfrey Network)
607,NBC Universo
611,Telemundo
621,UniMás
626,Univision Deportes Network
639,Xfinity Latino Entertainment Channel
649,HITN
651,Galavision
692,Sports Overflow
708,ESPNU HD
709,Outdoor Channel HD
710,GSN HD
727,FXX
730,Outdoor Channel
733,NBA TV
734,CBS Sports Network
735,ESPNU
736,NFL Network
737,NHL Network
738,Tennis Channel
739,Sportsman Channel
740,MLB Network
742,SEC Network
901,FOX Sports Detroit +
902,Educational Access
916,Public Access
988,Bloomberg TV HD
989,C-SPAN HD
990,Sportsman Channel HD
991,FXX HD
993,Universal Kids HD
1005,HSN HD
1008,HSN2
1009,CBET HD
1018,WDWO (INR)
1021,QVC HD
1030,WGTE HD (PBS)
1031,WPXD HD (ION)
1038,WADL HD (IND)
1040,WLPC-LP (INR)
1056,WTVS HD (PBS)
1062,WWJ HD (CBS)
1094,Local Origination
1102,The Weather Channel HD
1112,HLN HD
1113,MSNBC HD
1114,Newsy Live
1115,Newsmax TV HD
1117,BBC World News
1118,i24 News HD
1185,WXYZ Laff TV
1186,WXYZ Bounce TV
1188,WTVS World (PBS)
1190,WTVS Create (PBS)
1191,WMYD AntennaTV
1196,WGTE Create (PBS)
1205,ESPN HD
1215,NFL Network HD
1218,NBA TV HD
1222,Olympic Channel HD
1256,FOX Sports Detroit + HD
1303,CBS Sports Network HD
1321,SEC Network HD
1322,SEC Network Overflow
1402,A&E HD
1403,USA Network HD
1404,TNT HD
1405,AMC HD
1409,FX HD
1411,Syfy HD
1417,El Rey
1418,BBC America HD
1426,TV Land
1427,POP
1428,WE tv HD
1435,Comedy Central HD
1438,IFC HD
1439,Logo
1450,TLC HD
1451,Science HD
1465,Oxygen HD
1472,Nat Geo WILD HD
1473,National Geographic HD
1477,Smithsonian Channel HD
1480,American Heroes Channel
1485,Cooking Channel HD
1488,Travel Channel HD
1493,DIY Network HD
1495,Z Living HD
1613,AXS TV
1614,MTV Classic
1623,AFRO
1627,ASPiRE
1628,BET Her
1630,BET Soul
1633,BET Jams
1639,MTV2
1657,Daystar
1669,CatholicTV
1677,Three Angels Broadcasting (3ABN)
1681,The Word Network
1682,The Impact Network
1701,Disney Junior
1709,BabyFirst Americas
1714,Discovery Family Channel HD
1715,Disney Channel HD
1716,Disney XD HD
1727,Nicktoons
1734,Cartoon Network HD
1740,TeenNick
1755,TCM HD
