3ABN (Three Angels),1677
A&E HD,1402
ABC HD (WXYZ),231
AFRO,1623
AMC HD,1405
American Heroes Channel,1480
Animal Planet HD,193
AntennaTV,1191
ASPiRE,1627
AXS TV,1613
BabyFirst Americas,1709
BBC America HD,1418
BBC World News,1117
BET HD,249
BET Her,1628
BET Jams,1633
BET Soul,1630
Bloomberg TV HD,988
Bounce TV,1186
Bravo HD,242
Buzzr,292
BYUtv,390
C-SPAN HD,989
C-SPAN2,104
C-SPAN3,105
Cable Marketplace,389
Cartoon Network HD,1734
CatholicTV,1669
CBET HD,1009
CBS HD (WWJ),1062
CBS Sports Network HD,1303
CMT Music,145
CNBC HD,244
CNN HD,213
Comedy Central HD,1435
Cooking Channel HD,1485
CW HD (WKBD),236
Daystar,1657
Destination America HD,210
Discovery Family Channel HD,1714
Discovery HD,191
Disney Channel HD,1715
Disney Junior,1701
Disney XD HD,1716
DIY Network HD,1493
E! HD,225
Educational Access,902
El Rey,1417
ESPN HD,1205
ESPN2 HD,203
ESPNews HD,257
ESPNU HD,708
EVINE Live,263
EWTN,393
Food Network HD,197
FOX Business Network HD,243
FOX HD (WJBK),234
FOX News Channel HD,214
FOX Sports 1 HD,223
FOX Sports 2,73
FOX Sports Detroit + HD,1256
FOX Sports Detroit HD,201
Freeform HD,229
FX HD,1409
FX Movie Channel,172
FXX HD,991
fyi HD,186
GAC (Great American Country),147
Galavision,651
Golf Channel HD,207
Government Access,16
GSN HD,710
Hallmark Channel HD,378
Hallmark Movies & Mysteries HD,241
Heroes & Icons,166
HGTV HD,198
HISTORY HD,212
HITN,649
HLN HD,1112
Home Preview Channel,386
HSN HD,1005
HSN2,1008
i24 News HD,1118
IFC HD,1438
IND HD (WADL),1038
INR (WDWO),1018
INR (WLPC-LP),1040
INSP,391
Investigation Discovery HD,381
ION HD (WPXD),1031
Jewelry FL,157
Jewelry TV,8
Kid Central,126
Laff TV,1185
Leased Access,90
Lifetime HD,188
LMN HD,221
Local Origination,1094
Logo,1439
MeTV,169
MLB Network HD,258
MotorTrend Network,205
Movies,293
MSNBC HD,1113
MTV Classic,1614
MTV HD,252
MTV Live HD,209
MTV TR3s,141
MTV2,1639
MyTV HD (WMYD),235
Nat Geo WILD HD,1472
National Geographic,109
National Geographic HD,1473
NBA TV HD,1218
NBC HD (WDIV),232
NBC Sports Network HD,206
NBC Universo,607
Newsmax TV HD,1115
Newsy Live,1114
NFL Network HD,1215
NHL Network HD,259
Nick 2,132
Nick Jr.,131
Nick Music,139
Nickelodeon HD,228
Nicktoons,1727
Olympic Channel HD,1222
Oprah Network HD (OWN),394
Outdoor Channel HD,709
Ovation,124
Oxygen HD,1465
Paramount Network HD,226
PBS Create (WGTE),1196
PBS Create (WTVS),1190
PBS HD (WGTE),1030
PBS HD (WTVS),1056
PBS Kids (WGTE),290
PBS Kids (WTVS),160
PBS World (WTVS),1188
POP,1427
Primo TV,125
Public Access,916
QVC HD,1021
ReelzChannel,161
Revolt,159
Science HD,1451
SEC Network HD,1321
SEC Network Overflow,1322
Smithsonian Channel HD,1477
Sports Overflow,692
Sportsman Channel HD,990
Start TV,289
Syfy HD,1411
TBN,392
TBS HD,196
TCM HD,1755
TeenNick,1740
Telemundo,611
Tennis Channel HD,184
The Africa Channel,176
The Impact Network,1682
The Weather Channel HD,1102
The Word Network,1681
ThisTV,294
TLC HD,1450
TNT HD,1404
Travel Channel HD,1488
truTV HD,247
TV Land,1426
TV One HD,262
UniMás,621
Universal Kids HD,993
Univision,98
Univision Deportes Network,626
UP HD,379
USA Network HD,1403
VH1 HD,253
VICELAND HD,380
WE tv HD,1428
WGN America HD,187
Xfinity Latino,639
Z Living HD,1495
